사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
20-Jul,2호선,60,용두(동대문구청),22,1,1116,258,1513,891,5120,2423,7905,6623,3768,3456,3215,3007,3410,2847,3419,2782,3399,3349,3470,3486,3758,4149,4025,3815,4504,4315,6205,7547,2498,5385,1625,2735,1359,2690,970,2070,263,1678,0,46,0,0,0,0,0,0
20-Jul,3호선,61,지축,2,0,1397,332,6219,2146,18135,2763,16556,2892,7677,1749,5077,1899,4782,2672,4223,2696,3899,3115,3455,3362,4052,4054,4389,5391,4979,6788,3984,14582,2001,11364,1446,7814,1007,6235,683,6799,237,3657,1,1,1,1,0,0,0,0
20-Jul,3호선,62,구파발,116,3,10002,1585,33246,9370,90634,24408,86625,29886,41531,26600,27597,25904,26139,22440,26981,23518,26487,25239,26423,25242,29486,25569,34405,31126,36746,40798,33748,70638,20386,62880,15902,34386,15019,31540,12432,26160,2829,26704,9,2684,0,9,0,1,0,0
20-Jul,3호선,63,연신내,248,8,27545,2061,53109,12775,144420,25414,164108,36092,88258,35120,57509,34182,52239,35161,55006,37152,53231,39975,49919,43771,51384,52859,55407,64840,55086,84073,51612,141108,37171,130760,30678,70991,27542,65498,24582,57758,9007,45552,3,2570,0,1,0,0,0,0
20-Jul,3호선,64,불광,27,0,9278,948,19696,6176,53574,11000,61971,34240,33409,31496,22738,23546,21221,22018,22183,22822,23627,23844,22913,24176,23326,27188,25214,31079,28888,38334,33010,58298,18512,48765,13843,28671,12508,23265,9137,21879,2832,15305,1,373,0,0,0,0,0,0
20-Jul,3호선,65,녹번,26,1,8872,1292,24102,8182,66393,8125,72761,18567,38738,9190,22406,8539,18305,9094,18750,10223,17193,11556,15314,12355,15285,15545,17537,21094,19189,28946,20321,54888,9847,48107,6901,27474,5570,24655,4456,22762,1374,15252,1,66,0,0,0,0,0,0
20-Jul,3호선,66,홍제,62,2,9470,1594,22684,9156,63583,11943,72563,25696,42065,16905,28567,15780,26026,15918,26304,17201,24336,18426,22528,20800,22892,25610,25046,30214,28101,37065,28070,60985,14937,53705,11594,29426,9585,27523,6870,23358,2279,16357,1,1,0,0,0,0,0,0
20-Jul,3호선,67,무악재,26,0,1959,303,5206,1867,15384,3082,17477,6064,9983,3073,6314,3086,5625,3202,5243,3399,4895,3896,4315,4216,4150,5284,4751,6849,6062,8603,6821,15142,3273,13270,2371,7852,1850,7146,1426,7041,537,4739,0,1,0,0,0,0,0,0
20-Jul,3호선,68,독립문,102,5,5274,809,6392,5434,17012,14933,19727,22391,13925,12758,11566,10520,10567,8815,11797,8508,11076,10212,11156,9327,12674,10143,15068,11484,13927,14004,16838,17684,7999,14919,5727,8540,4326,8292,3283,7776,922,4837,2,5035,0,1,0,0,0,0
20-Jul,3호선,69,경복궁(정부서울청사),50,2,2646,1455,5822,13463,13614,45141,19793,110273,18373,50795,14047,27239,15746,25922,17522,25943,21615,26295,24880,24594,30890,22429,39134,23491,57457,26800,98877,33774,40336,22156,30657,11708,32594,9965,24608,9491,7613,6322,7,368,0,0,0,0,0,0
20-Jul,3호선,70,안국,14,1,1928,1702,3273,20886,6007,106742,8471,107754,7756,56743,9416,32015,11827,31445,17341,28947,20304,30907,23588,29329,32016,24523,45374,23032,103210,21961,112506,22688,43377,11312,34765,6025,32305,4463,20265,4184,5333,3142,0,45,0,0,0,1,0,0
20-Jul,3호선,71,종로3가,11,2,789,862,1125,5932,1821,15111,2266,50082,3451,49598,5375,32001,8517,23339,9753,23598,11078,22706,13824,21538,17917,19657,20129,16511,30493,16623,55248,18208,33859,10017,17088,4334,19384,3213,15552,2485,5386,2167,12,226,0,0,0,0,0,0
20-Jul,3호선,72,을지로3가,14,0,598,898,980,9187,1828,35404,2793,79486,3724,36829,4796,16595,6693,13715,7559,12654,10131,13307,12253,11451,13862,11399,17905,11867,39367,13849,70693,18379,29121,10233,18343,4385,18792,2779,16472,1939,7387,1596,8,211,0,0,0,0,0,0
20-Jul,3호선,73,충무로,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,3,0,2,0,2,0,4,0,5,0,1,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0
